Name,Goals,Expected goals (xG),Big chances missed,Succ. dribbles,Total shots,Goal conversion %,Tackles,Interceptions,Clearances,Errors leading to goal,Blocked shots,Big chances created,Assists,Accurate passes,Accurate passes %,Key passes
Aarón Escandell,0,,0,1,0,0.0,0,0,31,1,0.0,0,0,507,67.69,1
Abdel Rahim,0,0.04,0,7,2,0.0,29,24,59,1,6.0,2,0,480,81.08,14
Abdelkabir Abqar,0,0.3,1,2,7,0.0,24,12,41,0,4.0,2,1,179,71.31,3
Abderrahman Rebbach,0,1.61,3,8,26,0.0,21,8,8,0,0.0,6,0,210,79.25,16
Abdessamad Ezzalzouli,4,4.56,5,21,38,10.53,27,10,6,0,0.0,7,4,311,78.54,16
Abdón Prats,0,0.76,1,1,3,0.0,0,0,1,0,0.0,0,0,12,80.0,2
Abel Bretones,1,0.63,0,13,11,9.09,30,15,41,0,5.0,0,0,313,76.34,9
Abel Ruíz,0,,0,0,0,0.0,1,1,0,0,0.0,0,0,6,60.0,0
Abu Kamara,0,0.33,1,2,3,0.0,4,2,0,0,1.0,0,0,41,67.21,2
Adam Boayar,1,0.3,0,1,5,20.0,3,1,4,0,0.0,0,0,34,91.89,2
Adama Boiro,0,0.02,0,2,1,0.0,8,12,10,1,1.0,0,0,227,89.02,3
Ademola Lookman,0,0.05,0,1,2,0.0,0,0,0,0,0.0,0,0,20,90.91,1
Adnan Januzaj,0,0.13,0,7,4,0.0,4,1,1,0,0.0,0,0,95,87.96,10
Adrian Liso,3,1.88,2,13,22,13.64,16,2,3,0,2.0,0,0,154,69.06,3
Adrià Altimira,0,,0,0,0,0.0,1,0,0,0,0.0,0,0,8,100.0,0
Adrià Pedrosa,1,0.35,0,3,9,11.11,26,9,26,1,1.0,2,1,257,83.44,18
Adrián de la Fuente,2,1.69,2,3,16,12.5,16,22,99,0,13.0,1,1,588,80.88,7
Aihen Muñoz,0,0.43,1,2,5,0.0,24,4,27,0,0.0,0,0,205,83.33,4
Aimar Oroz,0,0.98,0,19,19,0.0,25,5,11,0,1.0,2,2,394,79.12,21
Aitor Mañas,0,0.22,1,1,1,0.0,1,0,0,0,0.0,0,0,10,83.33,2
Aitor Paredes,1,0.92,1,2,10,10.0,20,25,66,0,4.0,1,0,709,87.21,3
Aitor Ruibal,4,2.91,1,6,18,22.22,22,13,23,0,2.0,2,1,354,81.57,16
Akor Adams,6,7.52,7,8,38,15.79,5,0,17,1,2.0,1,2,124,61.39,5
Alan Matturro,1,0.24,0,0,3,33.33,15,4,31,0,3.0,0,0,217,79.49,1
Alberto Moleiro,9,4.29,3,19,33,27.27,13,6,9,0,3.0,6,4,309,75.0,22
Alberto Reina,2,1.48,2,9,12,16.67,22,9,9,0,1.0,2,0,401,83.72,12
Aleix Febas,2,1.61,1,37,17,11.76,43,12,13,0,1.0,1,1,1181,90.36,17
Alejandro Baena,2,1.34,1,8,13,15.38,11,8,5,0,2.0,6,1,287,82.47,22
Alejandro Balde,0,0.3,0,19,8,0.0,29,5,18,0,8.0,4,2,793,91.68,21
Alejandro Catena,2,1.78,1,3,12,16.67,24,21,130,2,20.0,1,2,848,84.97,9
Alejandro Francés,0,0.13,0,3,4,0.0,11,8,29,0,1.0,1,0,224,77.51,4
Alejandro Mestanza,0,0.02,0,2,1,0.0,2,0,0,0,0.0,0,0,17,73.91,0
Alejandro Rego,1,0.35,0,2,9,11.11,22,9,4,0,2.0,0,0,200,80.32,6
Alemão,1,1.72,2,3,14,7.14,4,1,8,0,2.0,0,0,67,65.05,4
Alex Sanchez,0,,0,0,0,0.0,1,0,0,0,0.0,0,1,4,66.67,1
Alexander Freeman,0,,0,0,0,0.0,0,1,1,0,0.0,0,0,20,90.91,0
Alexander Sørloth,7,5.53,9,8,39,17.95,8,0,13,0,2.0,1,0,173,65.78,8
Alexis Sánchez,2,2.15,3,4,15,13.33,13,4,3,0,0.0,1,1,212,76.81,16
Alfon González,1,0.69,1,4,11,9.09,1,1,4,0,0.0,0,0,60,82.19,6
Alfonso Espino,1,1.13,2,4,8,12.5,16,2,8,0,0.0,3,0,181,72.11,5
Alfonso Pedraza,1,0.46,0,14,6,16.67,27,12,22,1,6.0,4,2,270,78.49,12
Ali Houary,0,0.07,0,1,2,0.0,4,1,1,0,0.0,0,0,47,88.68,0
